02:07:18.071 [background-preinit] INFO  o.h.validator.internal.util.Version.<clinit> 21 - HV000001: Hibernate Validator 8.0.1.Final
02:07:18.131 [main] INFO  o.s.boot.StartupInfoLogger.logStarting 50 - Starting BankingAppsApplication using Java 21.0.4 with PID 23119 (/home/n9mi/Documents/src/synergy/BE-Java/target/classes started by n9mi in /home/n9mi/Documents/src/synergy/BE-Java)
02:07:18.134 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo 654 - No active profile set, falling back to 1 default profile: "default"
02:07:19.320 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn 143 - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
02:07:19.428 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn 211 - Finished Spring Data repository scanning in 98 ms. Found 6 JPA repository interfaces.
02:07:20.211 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize 111 - Tomcat initialized with port 8080 (http)
02:07:20.223 [main] INFO  o.apache.juli.logging.DirectJDKLog.log 173 - Initializing ProtocolHandler ["http-nio-8080"]
02:07:20.227 [main] INFO  o.apache.juli.logging.DirectJDKLog.log 173 - Starting service [Tomcat]
02:07:20.227 [main] INFO  o.apache.juli.logging.DirectJDKLog.log 173 - Starting Servlet engine: [Apache Tomcat/10.1.24]
02:07:20.296 [main] INFO  o.apache.juli.logging.DirectJDKLog.log 173 - Initializing Spring embedded WebApplicationContext
02:07:20.298 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext 296 - Root WebApplicationContext: initialization completed in 2082 ms
02:07:20.474 [main] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation 31 - HHH000204: Processing PersistenceUnitInfo [name: default]
02:07:20.526 [main] INFO  org.hibernate.Version.logVersion 44 - HHH000412: Hibernate ORM core version 6.5.2.Final
02:07:20.565 [main] INFO  o.h.c.i.RegionFactoryInitiator.initiateService 50 - HHH000026: Second-level cache disabled
02:07:20.902 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer 87 - No LoadTimeWeaver setup: ignoring JPA class transformer
02:07:20.930 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection 109 - HikariPool-1 - Starting...
02:07:22.350 [main] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast 554 - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@5960f17
02:07:22.353 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection 122 - HikariPool-1 - Start completed.
02:07:22.443 [main] WARN  o.h.e.j.d.i.DialectFactoryImpl.constructDialect 153 - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
02:07:24.293 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService 59 - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
02:07:25.212 [main] INFO  o.s.o.j.AbstractEntityManagerFactoryBean.buildNativeEntityManagerFactory 437 - Initialized JPA EntityManagerFactory for persistence unit 'default'
02:07:25.483 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory.<clinit> 49 - Hibernate is in classpath; If applicable, HQL parser will be used.
02:07:26.091 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor 236 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
02:07:26.354 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer.configure 83 - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
02:07:26.355 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer.configure 72 - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
02:07:26.847 [main] INFO  o.s.s.web.DefaultSecurityFilterChain.<init> 54 - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2f5fb329, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5ac88d71, org.springframework.security.web.context.SecurityContextHolderFilter@694c23e4, org.springframework.security.web.header.HeaderWriterFilter@3d872a12, org.springframework.web.filter.CorsFilter@457512b, org.springframework.security.web.authentication.logout.LogoutFilter@52bd1783, com.kelp_6.banking_apps.security.filter.JwtRequestFilter@783a2fec, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@55c9e012, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@77f5cffd, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1f3bd40a, org.springframework.security.web.session.SessionManagementFilter@487befb, org.springframework.security.web.access.ExceptionTranslationFilter@1e4dc9fc, org.springframework.security.web.access.intercept.AuthorizationFilter@19ad99fa]
02:07:27.163 [main] INFO  o.apache.juli.logging.DirectJDKLog.log 173 - Starting ProtocolHandler ["http-nio-8080"]
02:07:27.175 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start 243 - Tomcat started on port 8080 (http) with context path '/api/v1.0'
02:07:27.191 [main] INFO  o.s.boot.StartupInfoLogger.logStarted 56 - Started BankingAppsApplication in 10.08 seconds (process running for 10.556)
02:07:27.899 [main] INFO  c.k.b.setup.DatabaseSeeder.setup 65 - [SUCCESS] Seeds 2 records to users table
02:07:27.901 [main] INFO  c.k.b.setup.DatabaseSeeder.setup 84 - [SUCCESS] Seeds 2 records to account_types table
02:07:27.905 [main] INFO  c.k.b.setup.DatabaseSeeder.setup 118 - [SUCCESS] Seeds 2 records to accounts table
02:07:27.908 [main] INFO  c.k.b.setup.DatabaseSeeder.setup 147 - [SUCCESS] Seeds 4 records to login infos table
02:07:27.910 [main] INFO  c.k.b.setup.DatabaseSeeder.setup 158 - [SUCCESS] Seeds 1 records to saved accounts table
02:07:27.914 [main] INFO  c.k.b.setup.DatabaseSeeder.setup 208 - [SUCCESS] Seeds 4 records to transactions table
02:07:50.618 [http-nio-8080-exec-1] INFO  o.apache.juli.logging.DirectJDKLog.log 173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
02:07:50.619 [http-nio-8080-exec-1] INFO  o.s.web.servlet.FrameworkServlet.initServletBean 532 - Initializing Servlet 'dispatcherServlet'
02:07:50.620 [http-nio-8080-exec-1] INFO  o.s.web.servlet.FrameworkServlet.initServletBean 554 - Completed initialization in 1 ms
02:07:50.644 [http-nio-8080-exec-1] INFO  c.k.b.s.filter.JwtRequestFilter.doFilterInternal 64 - /api/v1.0/auth/login
02:07:50.880 [http-nio-8080-exec-1] ERROR c.k.b.e.GlobalExceptionHandler.applicationException 194 - 401 UNAUTHORIZED "user not found"
02:40:45.170 [SpringApplicationShutdownHook] INFO  o.s.o.j.AbstractEntityManagerFactoryBean.destroy 650 - Closing JPA EntityManagerFactory for persistence unit 'default'
02:40:45.172 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close 349 - HikariPool-1 - Shutdown initiated...
